Area,Location,Price,Room,Bathroom,House Type,Square Feet
Kuala-Lumpur,     Taman Melawati    ,    RM 440 000     , 1 Bedroom , 1 Bathroom , Apartments ,633 sq.ft
Kuala-Lumpur,     Old Klang Road    ,    RM 348 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,910 sq.ft
Kuala-Lumpur,     Jalan Ipoh    ,    RM 330 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,903 sq.ft
Kuala-Lumpur,     Kepong    ,    RM 420 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1150 sq.ft
Kuala-Lumpur,     Segambut    ,    RM 990 000     , 4 Bedrooms , 3 Bathrooms , Houses ,2200 sq.ft
Kuala-Lumpur,     Segambut    ,    RM 1 200 000     , 5 Bedrooms , 3 Bathrooms , Houses ,1400 sq.ft
Kuala-Lumpur,     Jalan Ipoh    ,    RM 460 000     , 4 Bedrooms , 2 Bathrooms , Apartments ,1100 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 1 700 000     , 5 Bedrooms , 4 Bathrooms , Houses ,6000 sq.ft
Kuala-Lumpur,     Old Klang Road    ,    RM 388 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,930 sq.ft
Kuala-Lumpur,     Jalan Ipoh    ,    RM 380 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1008 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 259 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,883 sq.ft
Kuala-Lumpur,     Setapak    ,    RM 380 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1207 sq.ft
Kuala-Lumpur,     Sri Damansara    ,    RM 210 000     , 3 Bedrooms , 1 Bathroom , Apartments ,650 sq.ft
Kuala-Lumpur,     Sentul    ,    RM 258 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,838 sq.ft
Kuala-Lumpur,     Kepong    ,    RM 110 000     , 3 Bedrooms , 1 Bathroom , Apartments ,678 sq.ft
Kuala-Lumpur,     Old Klang Road    ,    RM 350 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,965 sq.ft
Kuala-Lumpur,     Kepong    ,    RM 438 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,900 sq.ft
Kuala-Lumpur,     KL Sentral    ,    RM 265 000     , 2 Bedrooms , 2 Bathrooms , Apartments ,720 sq.ft
Kuala-Lumpur,     Setapak    ,    RM 596 000     , 4 Bedrooms , 2 Bathrooms , Apartments ,1600 sq.ft
Kuala-Lumpur,     Setapak    ,    RM 465 000     , 4 Bedrooms , 2 Bathrooms , Apartments ,1313 sq.ft
Kuala-Lumpur,     KL City    ,    RM 268 000     , 2 Bedrooms , 2 Bathrooms , Apartments ,720 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 390 000     , 4 Bedrooms , 2 Bathrooms , Apartments ,1100 sq.ft
Kuala-Lumpur,     Ampang Hilir    ,    RM 260 000     , 3 Bedrooms , 2 Bathrooms , Houses ,1400 sq.ft
Kuala-Lumpur,     Setiawangsa    ,    RM 1 800 000     , 4 Bedrooms , 3 Bathrooms , Houses ,3000 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 599 999     , 5 Bedrooms , 4 Bathrooms , Houses ,2987 sq.ft
Kuala-Lumpur,     Mont Kiara    ,    RM 1 900 000     , 3 Bedrooms , 4 Bathrooms , Apartments ,3713 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 370 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1288 sq.ft
Kuala-Lumpur,     Desa Pandan    ,    RM 280 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,716 sq.ft
Kuala-Lumpur,     Bukit Jalil    ,    RM 420 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1050 sq.ft
Kuala-Lumpur,     Others    ,    RM 380 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1190 sq.ft
Kuala-Lumpur,     Desa ParkCity    ,    RM 450 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1100 sq.ft
Kuala-Lumpur,     Wangsa Maju    ,    RM 444 800     , 4 Bedrooms , 2 Bathrooms , Apartments ,1060 sq.ft
Kuala-Lumpur,     Wangsa Maju    ,    RM 319 000     , 3 Bedrooms , 3 Bathrooms , Apartments ,850 sq.ft
Kuala-Lumpur,     Gombak    ,    RM 485 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1100 sq.ft
Kuala-Lumpur,     Kepong    ,    RM 416 000     , 4 Bedrooms , 2 Bathrooms , Apartments ,932 sq.ft
Kuala-Lumpur,     Pandan Indah    ,    RM 750 000     , 4 Bedrooms , 3 Bathrooms , Houses ,1080 sq.ft
Kuala-Lumpur,     Ampang Hilir    ,    RM 330 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1003 sq.ft
Kuala-Lumpur,     Setapak    ,    RM 238 000     , 3 Bedrooms , 1 Bathroom , Apartments ,721 sq.ft
Kuala-Lumpur,     Wangsa Maju    ,    RM 1 500 000     , 6 Bedrooms , 4 Bathrooms , Apartments ,3644 sq.ft
Kuala-Lumpur,     Serdang    ,    RM 369 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,962 sq.ft
Kuala-Lumpur,     Pandan Perdana    ,    RM 730 000     , 4 Bedrooms , 2 Bathrooms , Apartments ,1450 sq.ft
Kuala-Lumpur,     KL City    ,    RM 832 000     , 2 Bedrooms , 1 Bathroom , Apartments ,692 sq.ft
Kuala-Lumpur,     KLCC    ,    RM 600 000     , 2 Bedrooms , 2 Bathrooms , Apartments ,1204 sq.ft
Kuala-Lumpur,     Damansara    ,    RM 540 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1100 sq.ft
